method,reference_method,metric,independent_unit,independent_unit_count,paired_mean_difference,bootstrap_ci_lower,bootstrap_ci_upper,bootstrap_replicates,confidence,unadjusted_permutation_p_value,inference_label,benjamini_hochberg_p_value
conservation_rna_contact_esm_if1,unconstrained_esm_if1,maximum_atlas_identity,seed,1,0.017000000000000015,0.017000000000000015,0.017000000000000015,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,low_complexity_failure,seed,2,0.5,0.0,1.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,buried_core_recovery,seed,2,0.07312252964426877,0.05335968379446637,0.09288537549407117,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,rna_interface_recovery,seed,2,0.3125,0.3046875,0.3203125,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,0.029629629629629617,0.0222222222222222,0.037037037037037035,2000,0.95,0.5,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,model_agreement,seed,2,-0.027777777777777818,-0.32754629629629634,0.2719907407407407,2000,0.95,1.0,low_power_descriptive,1.0
conservation_rna_contact_esm_if1,unconstrained_esm_if1,candidate_diversity,seed,2,-0.09722222222222221,-0.09722222222222221,-0.09722222222222221,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,conditional_log_likelihood,seed,2,62.48498387381551,45.00180308561539,79.96816466201562,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,perplexity,seed,2,-0.5374082133172271,-0.6767834195373519,-0.3980330070971023,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,parent_identity,seed,2,0.012152777777777776,0.0046296296296296224,0.01967592592592593,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,designed_position_identity,seed,2,0.012209302325581414,0.004651162790697688,0.01976744186046514,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,maximum_atlas_identity,seed,1,-0.010999999999999954,-0.010999999999999954,-0.010999999999999954,2000,0.95,1.0,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,low_complexity_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,buried_core_recovery,seed,2,0.055335968379446654,0.03952569169960474,0.07114624505928857,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,rna_interface_recovery,seed,2,0.0546875,0.046875,0.0625,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,rna_second_shell_recovery,seed,2,-0.02962962962962963,-0.04444444444444445,-0.014814814814814808,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,hepn_region_recovery,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,model_agreement,seed,2,0.5804398148148148,0.4004629629629629,0.7604166666666666,2000,0.95,0.5,low_power_descriptive,1.0
esm_if1_ligandmpnn_consensus,unconstrained_esm_if1,candidate_diversity,seed,2,-0.14583333333333326,-0.14583333333333326,-0.14583333333333326,2000,0.95,0.5,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,conditional_log_likelihood,seed,2,-465.58791634043155,-499.9591498640657,-431.2166828167974,2000,0.95,0.5,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,perplexity,seed,2,5.550432055125375,4.95503008978008,6.14583402047067,2000,0.95,0.5,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,parent_identity,seed,2,0.02025462962962961,0.019675925925925902,0.020833333333333315,2000,0.95,0.5,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,designed_position_identity,seed,2,0.020348837209302348,0.01976744186046514,0.020930232558139555,2000,0.95,0.5,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,maximum_atlas_identity,seed,1,-0.014999999999999958,-0.014999999999999958,-0.014999999999999958,2000,0.95,1.0,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,fixed_position_violations,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,low_complexity_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,homopolymer_failure,seed,2,0.0,0.0,0.0,2000,0.95,1.0,low_power_descriptive,1.0
ligandmpnn,unconstrained_esm_if1,buried_core_recovery,seed,2,0.035573122529644285,0.01976284584980237,0.0513833992094862,2000,0.95,0.5,low_power_descriptive,1.0
