method,is_mock,actual_proposals,actual_selected_candidates,seed_count,fixed_position_count,free_position_count,fixed_position_hash,free_position_hash,mean_conditional_log_likelihood,mean_perplexity,mean_parent_identity,mean_designed_position_identity,mean_maximum_atlas_identity_among_coverage_hits,atlas_coverage_hit_count,fixed_position_violations,level1_pass_count,mean_buried_core_recovery,mean_rna_interface_recovery,mean_rna_second_shell_recovery,mean_hepn_region_recovery,mean_model_agreement,candidate_diversity_one_minus_mean_pairwise_identity,evidence_boundary
matched_random_mutation,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-3164.9601234849542,38.996626293072524,0.24768518518518517,0.2441860465116279,0.259,1,0,1,0.24802371541501977,0.24609375,0.26666666666666666,1.0,0.09722222222222221,0.8969907407407407,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
msa_profile_sampling,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-2733.755081686337,23.67024080967861,0.24479166666666666,0.24127906976744184,0.278,2,0,2,0.31521739130434784,0.4453125,0.30000000000000004,1.0,0.14641203703703703,0.8194444444444444,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
unconstrained_esm_if1,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-1769.057576403895,7.749226666652488,0.2378472222222222,0.23430232558139535,0.292,1,0,1,0.2994071146245059,0.2265625,0.25555555555555554,1.0,0.41956018518518523,0.7731481481481481,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
catalytic_only_fixed_esm_if1,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-1769.057576403895,7.749226666652488,0.2378472222222222,0.23430232558139535,0.292,1,0,1,0.2994071146245059,0.2265625,0.25555555555555554,1.0,0.41956018518518523,0.7731481481481481,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
conservation_constrained_esm_if1,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-1704.1432415290037,7.194602637746861,0.2638888888888889,0.26046511627906976,0.3,2,0,2,0.3389328063241107,0.359375,0.2777777777777778,1.0,0.396412037037037,0.6956018518518519,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
conservation_rna_contact_esm_if1,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-1710.7826498668874,7.247300812853412,0.28703703703703703,0.2837209302325581,0.3115,2,0,1,0.37252964426877466,0.5390625,0.2851851851851852,1.0,0.39178240740740744,0.6759259259259259,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
proteinmpnn,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-2296.355443400622,14.273391523683784,0.234375,0.23081395348837208,0.2465,2,0,2,0.29150197628458496,0.21484375,0.2518518518518518,1.0,0.24189814814814814,0.7974537037037037,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
ligandmpnn,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-2234.6454927443265,13.299658721777863,0.25810185185185186,0.25465116279069766,0.2685,2,0,2,0.3349802371541502,0.27734375,0.23703703703703705,1.0,0.6076388888888888,0.7511574074074074,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
esm_if1_ligandmpnn_consensus,False,4,2,2,4,860,a321c99530d0577a013e41cad714ad283f0de81fd97fc9b3ab67a131c97981a8,5dc6561c06db19c4cc5ca7f0fd729534ba867ff246068d63fa14158457121e42,-1706.5725925300794,7.211818453335261,0.25,0.24651162790697675,0.2755,2,0,2,0.3547430830039526,0.28125,0.22592592592592592,1.0,1.0,0.6273148148148149,Level 1 only if novelty gates pass; Level 2 from ESM score; no functional validity claim
